question,answer
¿Qué carreras hay en la universidad?,Ingeniería Química y Electrónica.
¿Cuándo son las inscripciones?,Las inscripciones son en marzo y septiembre.
¿Cuáles son los requisitos de admisión?,Se requiere presentar el examen de admisión y tener un promedio mínimo de 8.0 en preparatoria.
¿Hay becas disponibles?,"Sí, la universidad ofrece becas por excelencia académica y por necesidades económicas."
¿Cuánto cuesta la matrícula?,"La matrícula cuesta $5,000 por semestre."
¿Dónde está ubicada la universidad?,La universidad está ubicada en el centro de la ciudad.
¿Qué programas de posgrado ofrecen?,Ofrecemos maestrías en Administración y Ciencias de la Computación.
¿Hay intercambios estudiantiles?,"Sí, tenemos convenios con universidades en Estados Unidos y Europa."
¿Cuánto dura la carrera de Medicina?,La carrera de Medicina dura seis años.
¿Qué idiomas se enseñan?,"Enseñamos inglés, francés y alemán."
